-0.029078668953865267 * SUBTRACT(MAX(24.788937256082427, x, x, -5.1248903037063144E-6), x, 76.99832888864498, x)																																																			
x	y-expected	y-calculated	difference	difference^2																																															
1	0,5403023059	1,5763369535	1,0360346476	1,073367791																																															
2	0,277000344	1,6344942914	1,3574939474	1,8427898172																																															
3	0,1086197921	1,6926516293	1,5840318372	2,5091568612																																															
4	0,7326507403	1,7508089672	1,0181582269	1,036646175																																															
5	1,8931000979	1,8089663051	0,0841337928	0,0070784951																																															
6	2,7519297559	1,867123643	0,8848061129	0,7828818574																																															
7	2,6998124034	1,9252809809	0,7745314225	0,5998989244																																															
8	1,9339415079	1,9834383188	0,0494968109	0,0024499343																																															
9	1,2860943155	2,0415956567	0,7555013412	0,5707822766																																															
10	1,4635135639	2,0997529946	0,6362394307	0,4048006132																																															
11	2,4023209708	2,1579103326	0,2444106382	0,0597365601																																															
12	3,3287606085	2,2160676705	1,112692938	1,2380855744																																															
13	3,4723961389	2,2742250084	1,1981711305	1,435614058																																															
14	2,7757945478	2,3323823463	0,4434122015	0,1966143805																																															
15	1,9483622882	2,3905396842	0,442177396	0,1955208495																																															
16	1,8149292419	2,4486970221	0,6337677802	0,4016615992																																															
17	2,558050006	2,50685436	0,051195646	0,0026209942																																															
18	3,5506884661	2,5650116979	0,9856767682	0,9715586914																																															
19	3,9331435974	2,6231690358	1,3099745616	1,716033352																																															
20	3,4038143354	2,6813263737	0,7224879617	0,5219888548																																															
21	2,4967931775	2,7394837116	0,2426905341	0,0588986954																																															
22	2,091081627	2,7976410495	0,7065594225	0,4992262176																																															
23	2,6026611956	2,8557983874	0,2531371918	0,0640784379																																															
24	3,6022328377	2,9139557254	0,6882771123	0,4737253834																																															
25	4,2100786367	2,9659756396	1,2441029971	1,5477922674																																															
26	3,9050158604	2,9950543086	0,9099615518	0,8280300258																																															
27	3,0036980573	3,0241329775	0,0204349202	0,000417586																																															
28	2,3695986439	3,0532116465	0,6836130026	0,4673267373																																															
29	2,6192383003	3,0822903154	0,4630520151	0,2144171687																																															
30	3,5554488315	3,1113689844	0,4440798471	0,1972069106																																															
31	4,3487295623	3,1404476533	1,208281909	1,4599451716																																															
32	4,2999592633	3,1695263223	1,130432941	1,2778786341																																															
33	3,4832308142	3,1986049912	0,284625823	0,0810118591																																															
34	2,6777902498	3,2276836602	0,5498934104	0,3023827628																																															
35	2,6516558564	3,2567623291	0,6051064727	0,3661538434																																															
36	3,4555552488	3,2858409981	0,1697142507	0,0288029269																																															
37	4,3763319646	3,314919667	1,0614122976	1,1265960654																																															
38	4,5926598038	3,343998336	1,2486614678	1,5591554612																																															
39	3,9302045785	3,373077005	0,5571275735	0,3103911332																																															
40	3,0219413925	3,4021556739	0,3802142814	0,1445628998																																															
41	2,7262327892	3,4312343429	0,7050015537	0,4970271907																																															
42	3,3376843033	3,4603130118	0,1226287085	0,0150378002																																															
43	4,3163134172	3,4893916808	0,8269217364	0,6837995582																																															
44	4,7840329426	3,5184703497	1,2655625929	1,6016486765																																															
45	4,3319844786	3,5475490187	0,7844354599	0,6153389908																																															
46	3,3964634516	3,5766276876	0,180164236	0,0324591519																																															
47	2,8578121326	3,6057063566	0,747894224	0,5593457703																																															
48	3,2310566714	3,6347850255	0,4037283541	0,1629965839																																															
49	4,1924128419	3,6638636945	0,5285491474	0,2793642012																																															
50	4,8769890339	3,6929423634	1,1840466705	1,4019665178																																															
51	4,6739798295	3,7220210324	0,9519587971	0,9062255514																																															
52	3,7882529378	3,7510997014	0,0371532364	0,001380363																																															
53	3,0520091273	3,7801783703	0,728169243	0,5302304465																																															
54	3,1596742137	3,8092570393	0,6495828256	0,4219578473																																															
55	4,0294599415	3,8383357082	0,1911242333	0,0365284725																																															
56	4,8785717985	3,8674143772	1,0111574213	1,0224393307																																															
57	4,9429180948	3,8964930461	1,0464250487	1,0950053825																																															
58	4,179623146	3,9255717151	0,2540514309	0,0645421296																																															
59	3,3064572209	3,954650384	0,6481931631	0,4201543767																																															
60	3,1419315818	3,983729053	0,8417974712	0,7086229825																																															
61	3,8527722282	4,0128077219	0,1600354937	0,0256113593																																															
62	4,8006415474	4,0418863909	0,7587551565	0,5757093875																																															
63	5,129031308	4,0709650598	1,0580662482	1,1195041855																																															
64	4,5507403138	4,1000437288	0,450696585	0,2031274117																																															
65	3,6119334187	4,1291223978	0,5171889791	0,2674844401																																															
66	3,1900072861	4,1582010667	0,9681937806	0,9373991968																																															
67	3,6869228196	4,1872797357	0,5003569161	0,2503570435																																															
68	4,6596507277	4,2163584046	0,4432923231	0,1965080837																																															
69	5,2274968843	4,2454370736	0,9820598107	0,9644414719																																															
70	4,8818144451	4,2745157425	0,6072987026	0,3688117142																																															
71	3,9536571489	4,3035944115	0,3499372626	0,1224560877																																															
72	3,3094155307	4,3326730804	1,0232575497	1,0470560131																																															
73	3,5542667229	4,3617517494	0,8074850265	0,652032068																																															
74	4,475782435	4,3908304183	0,0849520167	0,0072168451																																															
75	5,2392393833	4,4199090873	0,819330296	0,671302134																																															
76	5,1550646714	4,4489877562	0,7060769152	0,4985446101																																															
77	4,3128303901	4,4780664252	0,1652360351	0,0273029473																																															
78	3,4989057334	4,5071450942	1,0082393608	1,0165466086																																															
79	3,4734769057	4,5362237631	1,0627468574	1,1294308829																																															
80	4,2716393908	4,5653024321	0,2936630413	0,0862379818																																															
81	5,1711351367	4,594381101	0,5767540357	0,3326452177																																															
82	5,3563969451	4,62345977	0,7329371751	0,5371969027																																															
83	4,6683807258	4,6525384389	0,0158422869	0,0002509781																																															
84	3,7507933033	4,6816171079	0,9308238046	0,8664329552																																															
85	3,4582746131	4,7106957768	1,2524211637	1,5685587714																																															
86	4,0706488513	4,7397744458	0,6691255945	0,4477290612																																															
87	5,0356584529	4,7688531147	0,2668053382	0,0711850885																																															
88	5,4767100982	4,7979317837	0,6787783145	0,4607400002																																															
89	4,9988134147	4,8270104526	0,1718029621	0,0295162578																																															
90	4,0517360542	4,8560891216	0,8043530674	0,646983857																																															
91	3,5164920456	4,8851677906	1,368675745	1,8732732948																																															
92	3,8953441291	4,9142464595	1,0189023304	1,0381619589																																															
93	4,8500281947	4,9433251285	0,0932969338	0,0087043178																																															
94	5,5127541489	4,9724037974	0,5403503515	0,2919785023																																															
95	5,2840504526	5,0014824664	0,2825679862	0,0798446668																																															
96	4,3839177422	5,0305611353	0,6466433931	0,4181476779																																															
97	3,6495634419	5,0596398043	1,4100763624	1,9883153477																																															
98	3,7656792334	5,0887184732	1,3230392398	1,7504328301																																															
99	4,6349407305	5,1177971422	0,4828564117	0,2331503143																																															
100	5,4674890583	5,1468758111	0,3206132472	0,1027928543																																															
101	5,5071253866	5,1759544801	0,3311709065	0,1096741693																																															
SUM			1,3672055541	1,3830419603																																															
AVG			0,0135366887	0,0136934848																																															
																																																			
																																																			
generation	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
best	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8013254654	0,8013254654	0,8013254654	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8029422677	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8185299728	0,8185299728	0,8185299728	0,8487206187	0,8538834368	0,872969582	0,8739015822	0,8739015822	0,8739015822	0,8739015822	0,8860910077	0,8860910077	1,0317436606	1,0317436606	1,0999912881	1,0999912881	1,0999912881	2,7136112036	10,8406681253
avg	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005636816	0,8008868626	0,8012254332	0,8013100758	0,8017008996	0,8021867556	0,8023855149	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8025065834	0,8027689366	0,8039241808	0,8049700859	0,8052479064	0,8053252436	0,8085126722	0,8153666147	0,8178709399	0,8181345531	0,8183981663	0,8280054654	0,8442222533	0,8588027973	0,8699326177	0,8727522677	0,8738922622	0,8770708328	0,8830963883	0,9271182531	0,9813694993	1,0177829074	1,0662306275	1,092484049	1,2044572046	1,885676293	4,3340920007	9,5733254564	14,697449662	1797693134862320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
worst	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8013254654	0,8013254654	0,8013254654	0,8013254654	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8029422677	0,8029422677	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8185299728	0,8185299728	0,8185299728	0,8185299728	0,8185299728	0,8487206187	0,8673569762	0,872119303	0,8739015822	0,8739015822	0,8739015822	0,8860910077	0,9205843057	1,0089880248	1,0317436606	1,0999912881	1,0999912881	1,0999912881	2,0568706312	2,7136112036	10,8406681253	14,9205622126	24,8205622126	179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
variance	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	1,52356759108097E-005	0,0003771984	0,0001740561	3,01635603876792E-005	0,0004955731	0,0003789677	0,000084804	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	0,0001261157	0,0002035518	0,0012256146	0,0006446879	0,0001947028	4,76595181632679E-005	0,0048083043	0,0048083043	0,0012521626	0,0007671143	0,000260977	0,0121286304	0,0093235464	0,0100756691	0,003739069	0,0017656934	1,84536025814963E-005	0,0046904909	0,0051490914	0,0480151498	0,0444337045	0,0219957445	0,0364615134	0,0133628855	0,1739702292	0,5208620087	2,7306888888	2,9748856537	3,2219079976	3559432407027380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CP	0,61	0,6	0,59	0,58	0,57	0,58	0,59	0,58	0,59	0,6	0,59	0,58	0,59	0,6	0,59	0,58	0,57	0,56	0,55	0,56	0,55	0,56	0,55	0,56	0,57	0,58	0,57	0,56	0,57	0,56	0,57	0,56	0,57	0,56	0,57	0,58	0,59	0,58	0,59	0,58	0,57	0,58	0,57	0,58	0,59	0,6	0,59	0,6	0,61	0,6	0,6
MP	0,35	0,34	0,33	0,32	0,31	0,32	0,33	0,34	0,33	0,34	0,35	0,34	0,33	0,32	0,31	0,3	0,29	0,28	0,27	0,28	0,29	0,3	0,29	0,28	0,27	0,28	0,29	0,28	0,27	0,26	0,27	0,28	0,27	0,26	0,25	0,24	0,25	0,26	0,27	0,28	0,27	0,28	0,27	0,28	0,29	0,3	0,31	0,3	0,31	0,3	0,3
																																																			
																																																			
Total execution time: 5 minutes, 46.974 seconds																																																			
